id,genre,genre_id
tm19608,romance,1
tm19608,crime,2
tm19608,drama,3
tm16479,romance,1
tm16479,comedy,4
tm16479,music,5
tm204541,drama,3
tm204541,action,6
tm204541,romance,1
tm204541,thriller,7
tm135083,drama,3
tm135083,crime,2
tm135083,comedy,4
tm44204,war,8
tm44204,action,6
tm44204,drama,3
tm10204,romance,1
tm10204,comedy,4
tm10204,drama,3
tm27298,drama,3
tm27298,war,8
tm27298,action,6
tm27298,history,9
tm27298,romance,1
tm185072,drama,3
tm185072,music,5
tm185072,romance,1
tm185072,family,10
tm71909,fantasy,11
tm67378,western,12
tm67378,action,6
tm67378,european,13
tm119281,drama,3
tm119281,crime,2
tm119281,action,6
ts22164,comedy,4
ts22164,european,13
tm75975,romance,1
tm14873,thriller,7
tm14873,crime,2
tm14873,action,6
tm156453,comedy,4
tm156453,documentation,14
tm156453,music,5
tm139885,drama,3
tm139885,european,13
tm190788,horror,15
tm107372,comedy,4
tm107372,drama,3
tm107372,romance,1
tm127384,comedy,4
tm127384,fantasy,11
ts25028,family,10
tm90896,drama,3
tm90896,crime,2
tm84618,crime,2
tm84618,drama,3
tm14350,drama,3
tm70993,comedy,4
tm100027,drama,3
tm100027,action,6
tm100027,romance,1
tm100027,family,10
tm100027,fantasy,11
tm69997,comedy,4
tm69997,documentation,14
tm69778,comedy,4
tm69778,animation,16
tm69778,action,6
tm69778,fantasy,11
tm69778,family,10
tm98978,romance,1
tm98978,drama,3
tm94651,drama,3
tm94651,comedy,4
tm94651,romance,1
tm94651,action,6
tm94651,crime,2
tm96649,western,12
tm96649,crime,2
ts987,comedy,4
ts987,family,10
ts987,scifi,17
ts987,animation,16
ts987,european,13
tm130586,drama,3
tm130586,romance,1
ts22082,action,6
ts22082,scifi,17
ts22082,crime,2
ts22082,drama,3
tm41289,drama,3
tm41289,family,10
tm41289,comedy,4
tm47673,fantasy,11
tm47673,drama,3
tm62924,comedy,4
tm62924,documentation,14
tm52274,drama,3
tm52274,war,8
tm52274,european,13
tm54450,horror,15
tm54450,thriller,7
tm54450,european,13
ts21715,family,10
ts21715,comedy,4
ts21715,music,5
ts21715,action,6
ts21715,animation,16
ts21715,fantasy,11
ts21715,drama,3
tm2386,horror,15
tm180542,drama,3
tm180542,crime,2
tm180542,european,13
tm126769,comedy,4
tm258072,crime,2
tm258072,drama,3
tm114356,drama,3
tm117580,comedy,4
tm117580,romance,1
tm111075,drama,3
tm119776,drama,3
tm119776,action,6
tm20712,comedy,4
tm20712,documentation,14
tm22327,drama,3
tm22327,war,8
tm24110,drama,3
ts63001,comedy,4
tm40103,scifi,17
tm40103,animation,16
tm40103,action,6
tm40103,drama,3
tm40103,war,8
tm55091,drama,3
tm51083,crime,2
tm51083,drama,3
tm51083,thriller,7
tm38736,drama,3
tm38736,war,8
ts23753,comedy,4
ts23753,family,10
ts20678,comedy,4
ts20678,romance,1
ts20678,family,10
tm446654,drama,3
tm446654,action,6
tm446654,crime,2
tm132694,horror,15
tm132694,fantasy,11
tm132694,thriller,7
tm137013,drama,3
tm138875,romance,1
tm138875,comedy,4
tm138875,drama,3
ts20681,comedy,4
tm159912,action,6
tm159912,crime,2
tm159912,drama,3
tm145608,drama,3
tm145608,european,13
tm157603,romance,1
tm157603,comedy,4
tm157603,drama,3
tm157853,drama,3
tm157853,crime,2
tm151332,drama,3
tm155792,scifi,17
tm155792,action,6
tm155792,comedy,4
tm155792,family,10
tm147829,drama,3
tm7032,war,8
tm7032,drama,3
tm7032,crime,2
tm7032,european,13
tm7073,action,6
tm7073,scifi,17
tm6859,comedy,4
tm6859,drama,3
tm6859,family,10
tm6859,romance,1
tm6859,european,13
tm7810,drama,3
tm7810,crime,2
tm7810,thriller,7
tm8446,scifi,17
tm8446,action,6
tm8446,comedy,4
tm8446,family,10
tm424630,drama,3
tm424630,sport,18
tm121879,drama,3
ts20960,scifi,17
ts20960,action,6
ts20960,fantasy,11
ts20960,family,10
ts20927,scifi,17
ts20927,action,6
ts20927,drama,3
tm204173,romance,1
tm204173,comedy,4
tm204173,drama,3
tm186589,thriller,7
tm186589,action,6
tm186589,animation,16
tm184326,drama,3
tm184326,crime,2
tm184205,comedy,4
tm184205,family,10
tm189433,drama,3
tm189433,family,10
tm190811,western,12
tm190811,drama,3
tm190811,history,9
tm256669,action,6
tm256669,crime,2
tm256669,drama,3
tm256669,thriller,7
tm187791,drama,3
tm187791,thriller,7
tm187791,action,6
tm187791,crime,2
tm187187,comedy,4
tm187187,action,6
tm187187,fantasy,11
tm189764,drama,3
tm189764,crime,2
tm189764,thriller,7
tm188606,drama,3
tm188606,european,13
tm189171,drama,3
tm189171,music,5
tm189171,romance,1
tm190486,fantasy,11
tm190486,scifi,17
tm190486,action,6
tm190486,comedy,4
tm190486,family,10
ts21684,drama,3
ts21684,romance,1
ts21684,comedy,4
ts22193,scifi,17
ts22193,comedy,4
ts22193,family,10
ts22193,fantasy,11
ts22193,animation,16
ts21693,comedy,4
ts21693,drama,3
ts21693,family,10
tm118438,thriller,7
tm118438,romance,1
tm118438,drama,3
tm122434,drama,3
tm122434,romance,1
tm122434,comedy,4
tm117873,romance,1
tm117873,comedy,4
tm117873,drama,3
tm184502,comedy,4
tm184502,drama,3
tm184502,music,5
tm184502,romance,1
tm113576,drama,3
tm113576,family,10
tm113576,romance,1
tm117840,drama,3
tm117488,drama,3
tm117488,family,10
tm117488,romance,1
tm117488,sport,18
tm117488,action,6
tm118256,crime,2
tm118256,action,6
tm118256,drama,3
ts22489,scifi,17
ts22489,fantasy,11
ts22489,horror,15
ts22489,thriller,7
ts22489,family,10
ts22489,music,5
ts20983,scifi,17
ts20983,action,6
ts20983,drama,3
ts20983,thriller,7
ts20983,fantasy,11
ts20983,animation,16
tm12876,romance,1
tm12876,drama,3
tm9323,thriller,7
tm9323,action,6
tm9323,crime,2
tm9323,western,12
tm9323,european,13
tm314602,romance,1
tm314602,action,6
tm314602,drama,3
tm10811,romance,1
tm10811,drama,3
tm10739,scifi,17
tm10739,thriller,7
tm10739,action,6
tm10739,drama,3
tm12499,thriller,7
tm12499,action,6
tm12499,crime,2
tm12499,drama,3
tm8859,comedy,4
tm11556,western,12
tm11556,thriller,7
tm11556,action,6
tm11556,romance,1
tm12482,action,6
tm12482,drama,3
tm12482,romance,1
tm12482,crime,2
ts20939,drama,3
ts20939,comedy,4
ts20939,family,10
tm110766,drama,3
tm106462,comedy,4
tm106462,sport,18
tm107659,romance,1
tm107659,comedy,4
tm107659,drama,3
ts22176,scifi,17
ts22176,drama,3
ts22176,action,6
tm191387,thriller,7
tm191387,horror,15
tm191387,action,6
tm191848,horror,15
tm191848,thriller,7
tm191848,drama,3
tm191989,thriller,7
tm191989,drama,3
tm191989,crime,2
tm191431,scifi,17
tm191431,action,6
tm191431,comedy,4
tm191431,thriller,7
tm192405,thriller,7
tm192405,drama,3
tm192405,scifi,17
tm191374,horror,15
tm191374,thriller,7
tm191614,drama,3
tm191614,romance,1
tm191614,comedy,4
tm191614,history,9
tm191772,drama,3
tm191772,history,9
tm191772,war,8
tm192199,fantasy,11
tm192199,horror,15
tm192199,scifi,17
tm192199,thriller,7
tm192199,action,6
tm192199,drama,3
tm192037,scifi,17
tm192037,thriller,7
tm192037,action,6
tm55553,action,6
tm55553,scifi,17
tm55553,horror,15
tm48430,thriller,7
tm48430,scifi,17
tm48430,action,6
tm46173,action,6
tm46173,thriller,7
tm46173,western,12
tm46173,comedy,4
tm46173,romance,1
tm57554,drama,3
tm57554,war,8
tm65686,thriller,7
tm65686,crime,2
tm65686,action,6
tm173551,fantasy,11
tm173551,romance,1
tm173551,animation,16
tm173551,drama,3
tm173551,family,10
tm128925,comedy,4
tm128925,fantasy,11
tm128925,drama,3
tm128925,crime,2
tm56574,romance,1
tm56574,drama,3
tm56574,comedy,4
tm55732,thriller,7
tm55732,horror,15
tm110225,romance,1
tm110225,comedy,4
tm110225,drama,3
tm189773,romance,1
tm189773,drama,3
tm189773,thriller,7
tm110160,drama,3
tm110160,comedy,4
tm9898,drama,3
tm9898,comedy,4
tm9898,romance,1
tm9898,action,6
tm61103,drama,3
tm61103,crime,2
tm61103,thriller,7
ts8570,family,10
tm53419,drama,3
tm53419,sport,18
tm47530,drama,3
tm47530,romance,1
tm47530,comedy,4
tm188970,comedy,4
tm188970,documentation,14
tm358653,romance,1
tm358653,crime,2
tm358653,drama,3
tm52083,romance,1
tm52083,war,8
tm52083,comedy,4
tm52083,drama,3
tm52083,european,13
tm56033,thriller,7
tm56033,european,13
tm56033,crime,2
tm56033,drama,3
tm125985,scifi,17
tm125985,drama,3
tm125985,war,8
tm125985,animation,16
tm125985,action,6
tm49037,animation,16
tm49037,action,6
tm49037,drama,3
tm49037,scifi,17
tm49037,war,8
tm21596,scifi,17
tm21596,action,6
tm21596,horror,15
tm21596,thriller,7
tm17721,thriller,7
tm17721,crime,2
tm17721,drama,3
tm17721,european,13
tm55100,drama,3
tm55100,romance,1
tm58893,comedy,4
tm58893,action,6
tm58893,crime,2
tm58893,thriller,7
ts21223,scifi,17
ts21223,action,6
ts21223,comedy,4
ts21223,fantasy,11
ts21223,animation,16
ts21223,family,10
tm43399,drama,3
tm43399,romance,1
tm43399,sport,18
tm200475,drama,3
tm190835,scifi,17
tm190835,action,6
tm190835,drama,3
tm190835,fantasy,11
tm190835,animation,16
tm449775,drama,3
tm449775,action,6
tm259855,documentation,14
tm259684,documentation,14
tm105716,drama,3
tm105716,romance,1
tm44402,drama,3
tm44402,european,13
tm67635,drama,3
tm67635,romance,1
tm67635,comedy,4
ts22039,comedy,4
tm63514,drama,3
tm63514,documentation,14
tm63514,war,8
ts5145,reality,19
ts5145,comedy,4
ts5145,drama,3
ts5145,scifi,17
tm348735,action,6
tm348735,crime,2
tm348735,thriller,7
tm47523,animation,16
tm47523,action,6
tm47523,comedy,4
tm47523,crime,2
tm47523,family,10
tm47523,fantasy,11
tm47523,scifi,17
tm137143,thriller,7
tm137143,scifi,17
tm137143,action,6
tm137143,european,13
tm14491,documentation,14
tm19673,drama,3
tm19673,action,6
tm19673,history,9
tm19673,war,8
tm119111,thriller,7
tm119111,fantasy,11
tm119111,scifi,17
tm119111,action,6
tm119111,horror,15
tm89386,documentation,14
tm89386,history,9
tm89386,european,13
tm19494,comedy,4
tm19494,sport,18
tm340430,drama,3
tm340430,action,6
tm340430,crime,2
tm54903,drama,3
tm54903,thriller,7
tm54903,crime,2
tm54903,european,13
tm34310,comedy,4
tm34310,european,13
ts58175,comedy,4
tm44776,drama,3
tm44776,european,13
tm44776,romance,1
ts20918,comedy,4
ts45948,comedy,4
tm62176,drama,3
tm62176,romance,1
tm52815,drama,3
tm52815,romance,1
tm52871,thriller,7
tm52871,action,6
tm52871,drama,3
tm52871,romance,1
ts34435,western,12
