id,country,production_id
tm19608,EG,1
tm16479,US,2
tm204541,EG,1
tm135083,EG,1
tm44204,US,2
tm44204,GB,3
tm10204,IN,4
tm27298,EG,1
tm185072,US,2
tm71909,IN,4
tm67378,US,2
tm119281,US,2
ts22164,GB,3
tm75975,IN,4
tm14873,US,2
tm156453,US,2
tm139885,US,2
tm139885,FR,5
tm139885,IR,6
tm190788,US,2
tm107372,IN,4
tm127384,GB,3
ts25028,US,2
tm90896,DZ,7
tm90896,EG,1
tm84618,US,2
tm14350,EG,1
tm70993,GB,3
tm100027,IN,4
tm100027,SU,8
tm69997,US,2
tm69778,JP,9
tm98978,US,2
tm94651,IN,4
tm96649,US,2
ts987,GB,3
tm130586,US,2
ts22082,US,2
tm41289,US,2
tm47673,EG,1
tm62924,GB,3
tm52274,FR,5
tm52274,LB,10
tm54450,US,2
ts21715,GB,3
tm2386,US,2
tm180542,US,2
tm180542,IT,11
tm126769,AR,12
tm258072,US,2
tm114356,US,2
tm117580,US,2
tm111075,US,2
tm119776,US,2
tm20712,US,2
tm22327,GB,3
tm22327,US,2
tm24110,US,2
ts63001,US,2
tm40103,JP,9
tm55091,US,2
tm51083,US,2
tm38736,US,2
ts23753,US,2
ts20678,US,2
tm446654,IN,4
tm132694,US,2
tm137013,US,2
tm138875,US,2
ts20681,US,2
tm159912,IN,4
tm145608,US,2
tm157603,IN,4
tm157853,US,2
tm151332,EG,1
tm151332,FR,5
tm155792,HK,13
tm155792,US,2
tm147829,US,2
tm7032,IT,11
tm7032,LB,10
tm7032,BE,14
tm7032,FR,5
tm7073,US,2
tm6859,US,2
tm7810,US,2
tm8446,US,2
tm8446,HK,13
tm424630,US,2
tm121879,US,2
ts20960,US,2
ts20927,US,2
tm204173,IN,4
tm186589,IT,11
tm186589,US,2
tm186589,FR,5
tm184326,IN,4
tm184205,US,2
tm189433,US,2
tm189433,FR,5
tm190811,US,2
tm256669,IN,4
tm187791,US,2
tm187187,US,2
tm189764,US,2
tm188606,GH,15
tm188606,GB,3
tm188606,US,2
tm188606,BF,16
tm188606,DE,17
tm189171,AR,12
tm189171,ES,18
tm190486,HK,13
tm190486,US,2
ts21684,AU,19
ts22193,US,2
ts22193,CA,20
ts21693,US,2
tm118438,IN,4
tm122434,US,2
tm117873,IN,4
tm184502,IN,4
tm113576,US,2
tm117840,EG,1
tm117840,FR,5
tm117488,US,2
tm118256,IN,4
ts22489,CA,20
ts22489,US,2
ts20983,JP,9
tm12876,IN,4
tm9323,US,2
tm314602,IN,4
tm10811,US,2
tm10739,US,2
tm10739,CA,20
tm12499,US,2
tm8859,IN,4
tm11556,US,2
tm11556,JP,9
tm12482,IN,4
ts20939,US,2
tm110766,US,2
tm110766,FR,5
tm110766,DE,17
tm110766,PS,21
tm106462,US,2
tm107659,US,2
ts22176,US,2
ts22176,CA,20
tm191387,PE,22
tm191387,US,2
tm191387,BR,23
tm191848,DE,17
tm191848,US,2
tm191989,US,2
tm191431,US,2
tm191431,HK,13
tm192405,US,2
tm191374,US,2
tm191614,EG,1
tm191614,FR,5
tm191772,US,2
tm192199,US,2
tm192037,US,2
tm55553,US,2
tm48430,US,2
tm46173,US,2
tm57554,US,2
tm65686,US,2
tm173551,US,2
tm128925,IN,4
tm56574,US,2
tm55732,US,2
tm110225,IN,4
tm189773,IN,4
tm110160,IN,4
tm9898,IN,4
tm61103,US,2
tm61103,DE,17
ts8570,US,2
tm53419,US,2
tm47530,IN,4
tm188970,GB,3
tm358653,IN,4
tm52083,BE,14
tm52083,FR,5
tm52083,NO,24
tm52083,LB,10
tm56033,FR,5
tm56033,IE,25
tm56033,GB,3
tm56033,DE,17
tm125985,JP,9
tm49037,JP,9
tm21596,DE,17
tm21596,US,2
tm17721,US,2
tm55100,IN,4
tm58893,IN,4
ts21223,JP,9
tm43399,IN,4
tm200475,LB,10
tm190835,JP,9
tm449775,IN,4
tm449775,SU,8
tm259855,FR,5
tm259855,LB,10
tm259855,CA,20
tm259684,FR,5
tm259684,LB,10
tm259684,CA,20
tm105716,IN,4
tm44402,US,2
tm44402,DE,17
tm67635,IN,4
ts22039,FR,5
tm63514,US,2
ts5145,US,2
tm348735,IN,4
tm47523,US,2
tm137143,GB,3
tm137143,US,2
tm137143,DE,17
tm14491,US,2
tm19673,DE,17
tm19673,US,2
tm119111,US,2
tm89386,DE,17
tm19494,US,2
tm340430,IN,4
tm54903,US,2
tm34310,US,2
tm34310,DE,17
ts58175,US,2
tm44776,EG,1
tm44776,FR,5
ts20918,US,2
ts45948,,26
