id,type,type_id
tm19608,MOVIE,1
tm16479,MOVIE,1
tm204541,MOVIE,1
tm135083,MOVIE,1
tm44204,MOVIE,1
tm10204,MOVIE,1
tm27298,MOVIE,1
tm185072,MOVIE,1
tm71909,MOVIE,1
tm67378,MOVIE,1
tm119281,MOVIE,1
ts22164,SHOW,2
tm75975,MOVIE,1
tm14873,MOVIE,1
tm156453,MOVIE,1
tm139885,MOVIE,1
tm190788,MOVIE,1
tm107372,MOVIE,1
tm127384,MOVIE,1
ts25028,SHOW,2
tm90896,MOVIE,1
tm84618,MOVIE,1
tm14350,MOVIE,1
tm70993,MOVIE,1
tm100027,MOVIE,1
tm69997,MOVIE,1
tm69778,MOVIE,1
tm98978,MOVIE,1
tm94651,MOVIE,1
tm96649,MOVIE,1
ts987,SHOW,2
tm130586,MOVIE,1
ts22082,SHOW,2
tm41289,MOVIE,1
tm47673,MOVIE,1
tm62924,MOVIE,1
tm52274,MOVIE,1
tm54450,MOVIE,1
ts21715,SHOW,2
tm2386,MOVIE,1
tm180542,MOVIE,1
tm126769,MOVIE,1
tm258072,MOVIE,1
tm114356,MOVIE,1
tm117580,MOVIE,1
tm111075,MOVIE,1
tm119776,MOVIE,1
tm20712,MOVIE,1
tm22327,MOVIE,1
tm24110,MOVIE,1
ts63001,SHOW,2
tm40103,MOVIE,1
tm55091,MOVIE,1
tm51083,MOVIE,1
tm38736,MOVIE,1
ts23753,SHOW,2
ts20678,SHOW,2
tm446654,MOVIE,1
tm132694,MOVIE,1
tm137013,MOVIE,1
tm138875,MOVIE,1
ts20681,SHOW,2
tm159912,MOVIE,1
tm145608,MOVIE,1
tm157603,MOVIE,1
tm157853,MOVIE,1
tm151332,MOVIE,1
tm155792,MOVIE,1
tm147829,MOVIE,1
tm7032,MOVIE,1
tm7073,MOVIE,1
tm6859,MOVIE,1
tm7810,MOVIE,1
tm8446,MOVIE,1
tm424630,MOVIE,1
tm121879,MOVIE,1
ts20960,SHOW,2
ts20927,SHOW,2
tm204173,MOVIE,1
tm186589,MOVIE,1
tm184326,MOVIE,1
tm184205,MOVIE,1
tm189433,MOVIE,1
tm190811,MOVIE,1
tm256669,MOVIE,1
tm187791,MOVIE,1
tm187187,MOVIE,1
tm189764,MOVIE,1
tm188606,MOVIE,1
tm189171,MOVIE,1
tm190486,MOVIE,1
ts21684,SHOW,2
ts22193,SHOW,2
ts21693,SHOW,2
tm118438,MOVIE,1
tm122434,MOVIE,1
tm117873,MOVIE,1
tm184502,MOVIE,1
tm113576,MOVIE,1
tm117840,MOVIE,1
tm117488,MOVIE,1
tm118256,MOVIE,1
ts22489,SHOW,2
ts20983,SHOW,2
tm12876,MOVIE,1
tm9323,MOVIE,1
tm314602,MOVIE,1
tm10811,MOVIE,1
tm10739,MOVIE,1
tm12499,MOVIE,1
tm8859,MOVIE,1
tm11556,MOVIE,1
tm12482,MOVIE,1
ts20939,SHOW,2
tm110766,MOVIE,1
tm106462,MOVIE,1
tm107659,MOVIE,1
ts22176,SHOW,2
tm191387,MOVIE,1
tm191848,MOVIE,1
tm191989,MOVIE,1
tm191431,MOVIE,1
tm192405,MOVIE,1
