id,title,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,is_best_movie_by_year,is_best_movie,is_best_show_by_year,is_best_show
tm19608,The Blazing Sun,1954,,100,tt0044429,7.4,1219,0,0,0,0
tm16479,White Christmas,1954,,115,tt0047673,7.5,42373,1,1,0,0
tm204541,Dark Waters,1956,,120,tt0049761,6.7,590,0,0,0,0
tm135083,Cairo Station,1958,,77,tt0051390,7.5,4385,0,0,0,0
tm44204,The Guns of Navarone,1961,,158,tt0054953,7.5,50150,1,1,0,0
tm10204,Professor,1962,,163,tt0056379,6.8,285,0,0,0,0
tm27298,Saladin the Victorious,1963,,186,tt0057357,7.6,2470,0,0,0,0
tm185072,My Fair Lady,1964,G,170,tt0058385,7.8,94121,1,1,0,0
tm71909,Amrapali,1966,,120,tt0060104,6.7,225,0,0,0,0
tm67378,The Professionals,1966,PG-13,117,tt0060862,7.3,16168,0,1,0,0
tm119281,Bonnie and Clyde,1967,R,110,tt0061418,7.7,111189,1,1,0,0
ts22164,Monty Python's Flying Circus,1969,TV-14,30,tt0063929,8.8,72895,0,0,1,1
tm75975,Prince,1969,,152,tt0064842,6.9,168,0,0,0,0
tm14873,Dirty Harry,1971,R,102,tt0066999,7.7,153463,1,1,0,0
tm156453,FTA,1972,R,97,tt0068562,6.2,411,0,0,0,0
tm139885,The Other Side of the Wind,2018,R,122,tt0069049,6.7,7104,0,0,0,0
tm190788,The Exorcist,1973,R,133,tt0070047,8.1,391942,1,1,0,0
tm107372,Manoranjan,1974,,162,tt0071811,6.5,236,0,0,0,0
tm127384,Monty Python and the Holy Grail,1975,PG,91,tt0071853,8.2,530877,1,1,0,0
ts25028,Wheel of Fortune,1983,TV-G,26,tt0072584,6.7,3126,0,0,0,0
tm90896,The Return of the Prodigal Son,1976,,124,tt0074168,7.2,768,0,0,0,0
tm84618,Taxi Driver,1976,R,113,tt0075314,8.3,795222,1,1,0,0
tm14350,Alexandria… Why?,1979,,133,tt0077751,7.2,1689,0,0,0,0
tm70993,Life of Brian,1979,R,94,tt0079470,8.0,392419,1,1,0,0
tm100027,Alibaba Aur 40 Chor,1979,,138,tt0079749,6.2,555,0,0,0,0
tm69997,Richard Pryor: Live in Concert,1979,R,78,tt0079807,8.1,5141,0,0,0,0
tm69778,Lupin the Third: The Castle of Cagliostro,1979,PG,100,tt0079833,7.6,30277,0,1,0,0
tm98978,The Blue Lagoon,1980,R,104,tt0080453,5.8,69053,1,0,0,0
tm94651,Dostana,1980,,161,tt0080653,2.1,25,0,0,0,0
tm96649,The Long Riders,1980,R,99,tt0081071,6.9,11329,0,1,0,0
ts987,Danger Mouse,1981,TV-Y,15,tt0081848,7.4,3514,0,0,0,0
tm130586,Endless Love,1981,R,116,tt0082329,4.9,8374,0,0,0,0
ts22082,Knight Rider,1982,TV-PG,51,tt0083437,6.9,33760,0,0,1,0
tm41289,Annie,1982,PG,127,tt0083564,6.6,44866,1,0,0,0
tm47673,An Egyptian Story,1982,,129,tt0084042,7.3,1113,0,0,0,0
tm62924,Monty Python Live at the Hollywood Bowl,1982,R,77,tt0084352,7.9,15186,0,1,0,0
tm52274,The Little Wars,1982,,108,tt0084492,6.3,149,0,0,0,0
tm54450,Christine,1983,R,90,tt0085333,6.7,80945,1,0,0,0
ts21715,Thomas & Friends,1984,TV-Y,10,tt0086815,6.5,4948,0,0,0,0
tm2386,A Nightmare on Elm Street,1984,R,91,tt0087800,7.4,230543,0,1,0,0
tm180542,Once Upon a Time in America,1984,R,229,tt0087843,8.3,342335,1,1,0,0
tm126769,Waiting for the Hearse,1985,,87,tt0089108,8.0,6285,0,0,0,0
tm258072,Adam: His Song Continues,1986,,100,tt0090589,7.0,209,0,0,0,0
tm114356,The George McKenna Story,1988,,100,tt0091106,6.0,901,0,0,0,0
tm117580,She's Gotta Have It,1986,R,84,tt0091939,6.7,14277,0,0,0,0
tm111075,Stand by Me,1986,R,89,tt0092005,8.1,392790,1,1,0,0
tm119776,Top Gun,1986,PG,110,tt0092099,6.9,329656,0,1,0,0
tm20712,Eddie Murphy Raw,1987,R,93,tt0092948,7.6,19646,0,1,0,0
tm22327,Full Metal Jacket,1987,R,116,tt0093058,8.3,723306,1,1,0,0
tm24110,Strange Voices,1987,,100,tt0094052,6.3,357,0,0,0,0
ts63001,High Risk,1988,TV-PG,50,tt0094478,3.8,6,0,0,0,0
tm40103,Mobile Suit Gundam: Char's Counterattack,1988,,120,tt0095262,7.3,1649,0,0,0,0
tm55091,Quiet Victory: The Charlie Wedemeyer Story,1988,,100,tt0095945,7.1,144,0,0,0,0
tm51083,A Stoning in Fulham County,1988,,120,tt0096179,5.8,380,0,0,0,0
tm38736,Too Young The Hero,1988,,100,tt0096286,6.7,494,0,0,0,0
ts23753,Major Dad,1989,TV-PG,24,tt0096643,6.4,2866,0,0,0,0
ts20678,Saved by the Bell,1989,TV-G,23,tt0096694,7.1,34854,0,0,0,0
tm446654,Mujrim,1989,,162,tt0097926,5.4,188,0,0,0,0
tm132694,Pet Sematary,1989,R,103,tt0098084,6.5,102212,0,0,0,0
tm137013,The Ryan White Story,1989,,102,tt0098237,7.2,857,0,0,0,0
tm138875,When Harry Met Sally...,1989,R,96,tt0098635,7.7,212913,1,1,0,0
ts20681,Seinfeld,1989,TV-PG,24,tt0098904,8.9,302700,0,0,1,1
tm159912,Agneepath,1990,,174,tt0098999,7.6,8902,0,0,0,0
tm145608,Awakenings,1990,PG-13,120,tt0099077,7.8,137549,1,1,0,0
tm157603,Dil,1990,,172,tt0099429,6.6,5273,0,0,0,0
tm157853,In Defense of a Married Man,1990,,94,tt0099833,5.6,200,0,0,0,0
tm151332,"Alexandria, Again and Forever",1989,,105,tt0099858,6.5,643,0,0,0,0
tm155792,Teenage Mutant Ninja Turtles,1990,PG,93,tt0100758,6.7,92647,0,0,0,0
tm147829,Unspeakable Acts,1990,,100,tt0100848,6.0,448,0,0,0,0
tm7032,Out of Life,1991,,97,tt0102058,6.9,365,0,0,0,0
tm7073,Knight Rider 2000,1991,G,91,tt0102227,4.5,3178,0,0,0,0
tm6859,My Girl,1991,PG,103,tt0102492,6.9,79800,1,1,0,0
tm7810,Nightmare in Columbia County,1991,,100,tt0102537,5.5,341,0,0,0,0
tm8446,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,PG,88,tt0103060,6.0,55499,0,0,0,0
tm424630,A Triumph of the Heart: The Ricky Bell Story,1991,,100,tt0103123,7.2,248,0,0,0,0
tm121879,A River Runs Through It,1992,PG,123,tt0105265,7.2,59086,1,1,0,0
ts20960,Power Rangers,1993,TV-Y7,22,tt0106064,6.5,21949,0,0,0,0
ts20927,Star Trek: Deep Space Nine,1993,TV-PG,47,tt0106145,8.1,61145,0,0,1,1
tm204173,Aashik Aawara,1993,,153,tt0106206,4.7,320,0,0,0,0
tm186589,Cliffhanger,1993,R,112,tt0106582,6.5,128179,0,0,0,0
tm184326,Damini,1993,,180,tt0106655,7.8,3490,0,0,0,0
tm184205,Dennis the Menace,1993,PG,95,tt0106701,5.6,60779,0,0,0,0
tm189433,Free Willy,1993,PG,112,tt0106965,6.0,75244,0,0,0,0
tm190811,Geronimo: An American Legend,1993,PG-13,115,tt0107004,6.5,11506,0,0,0,0
tm256669,Gumrah,1993,,149,tt0107060,6.1,784,0,0,0,0
tm187791,In the Line of Fire,1993,R,128,tt0107206,7.2,101939,0,1,0,0
tm187187,Last Action Hero,1993,PG-13,130,tt0107362,6.4,149290,0,0,0,0
tm189764,Menace II Society,1993,R,97,tt0107554,7.5,57399,1,1,0,0
tm188606,Sankofa,1993,,124,tt0108041,7.0,678,0,0,0,0
tm189171,Wild Tango,1993,R,124,tt0108291,6.7,1564,0,0,0,0
tm190486,Teenage Mutant Ninja Turtles III,1993,PG,96,tt0108308,4.7,33128,0,0,0,0
ts21684,Heartbreak High,1994,TV-MA,47,tt0108800,7.8,3106,0,0,0,0
ts22193,The Magic School Bus,1994,TV-Y,26,tt0108847,7.8,9708,0,0,0,0
ts21693,"Sister, Sister",1994,TV-PG,22,tt0108927,6.2,12535,0,0,0,0
