weather_id,city_name,temperature,unit,condition,conditions_description,timestamp
1,London,11.67,Celsius,Clouds,"scattered clouds","2023-11-15 22:16:47"
2,Berlin,8.73,Celsius,Clouds,"broken clouds","2023-11-15 22:16:47"
3,London,11.67,Celsius,Clouds,"scattered clouds","2023-11-15 22:17:09"
4,Berlin,8.73,Celsius,Clouds,"broken clouds","2023-11-15 22:17:09"
5,London,11.67,Celsius,Clouds,"scattered clouds","2023-11-15 22:18:01"
6,Berlin,8.73,Celsius,Clouds,"broken clouds","2023-11-15 22:18:01"
7,London,11.58,Celsius,Clouds,"scattered clouds","2023-11-15 22:25:45"
8,Berlin,8.83,Celsius,Clouds,"broken clouds","2023-11-15 22:25:45"
9,Moscow,1.94,Celsius,Clouds,"overcast clouds","2023-11-15 22:37:35"
10,London,11.58,Celsius,Clouds,"scattered clouds","2023-11-15 22:37:35"
11,Istanbul,20.64,Celsius,Clouds,"few clouds","2023-11-15 22:37:35"
12,Berlin,8.7,Celsius,Clouds,"broken clouds","2023-11-15 22:37:36"
13,Kyiv,9.96,Celsius,Clouds,"overcast clouds","2023-11-15 22:37:36"
14,"Saint Petersburg",1.12,Celsius,Clouds,"overcast clouds","2023-11-15 22:37:36"
15,Rome,14.53,Celsius,Clouds,"few clouds","2023-11-15 22:37:36"
16,Bucharest,14.98,Celsius,Clouds,"few clouds","2023-11-15 22:37:36"
17,Paris,13.22,Celsius,Clouds,"broken clouds","2023-11-15 22:37:36"
18,Vienna,12.77,Celsius,Clear,"clear sky","2023-11-15 22:37:37"
19,Minsk,1.86,Celsius,Clouds,"overcast clouds","2023-11-15 22:37:38"
20,Budapest,13.07,Celsius,Clouds,"broken clouds","2023-11-15 22:37:38"
21,Warsaw,6.89,Celsius,Clouds,"broken clouds","2023-11-15 22:37:38"
22,Hamburg,8.93,Celsius,Clouds,"broken clouds","2023-11-15 22:37:38"
23,Belgrade,12.62,Celsius,Clouds,"broken clouds","2023-11-15 22:37:38"
24,Barcelona,18.03,Celsius,Clouds,"broken clouds","2023-11-15 22:37:38"
25,Munich,9.34,Celsius,Rain,"moderate rain","2023-11-15 22:37:39"
26,Kharkiv,8.44,Celsius,Clouds,"broken clouds","2023-11-15 22:37:39"
27,Vilnius,2.09,Celsius,Clouds,"overcast clouds","2023-11-15 22:37:39"
28,Milan,17.55,Celsius,Clear,"clear sky","2023-11-15 22:37:39"
29,Istanbul,13.45,Celsius,Clouds,"broken clouds","2023-11-16 09:23:53"
30,London,5.09,Celsius,Clouds,"overcast clouds","2023-11-16 09:23:53"
31,Moscow,0.67,Celsius,Clouds,"overcast clouds","2023-11-16 09:23:53"
32,Berlin,7.04,Celsius,Clear,"clear sky","2023-11-16 09:23:53"
33,Madrid,10.58,Celsius,Fog,fog,"2023-11-16 09:23:53"
34,"Saint Petersburg",-0.99,Celsius,Clouds,"overcast clouds","2023-11-16 09:23:54"
35,Kyiv,8.79,Celsius,Rain,"light rain","2023-11-16 09:23:54"
36,Rome,15.4,Celsius,Clouds,"overcast clouds","2023-11-16 09:23:54"
37,Paris,7.9,Celsius,Clear,"clear sky","2023-11-16 09:23:54"
38,Minsk,0.86,Celsius,Clouds,"overcast clouds","2023-11-16 09:23:54"
39,Bucharest,9.48,Celsius,Clear,"clear sky","2023-11-16 09:23:54"
40,Vienna,9.55,Celsius,Clouds,"broken clouds","2023-11-16 09:23:54"
41,Warsaw,3.44,Celsius,Clouds,"few clouds","2023-11-16 09:23:54"
42,Hamburg,8.93,Celsius,Clouds,"broken clouds","2023-11-16 09:23:54"
43,Budapest,9.49,Celsius,Clouds,"few clouds","2023-11-16 09:23:55"
44,Belgrade,7.58,Celsius,Clear,"clear sky","2023-11-16 09:23:55"
45,Barcelona,15.98,Celsius,Clouds,"few clouds","2023-11-16 09:23:55"
